"Date","Open","High","Low","Close","Volume"
"11/09/2021","1173.6","1174.5","1011.52","1023.5","59,105,840"
"11/08/2021","1149.785","1197","1133","1162.94","33,445,720"
"11/05/2021","1228","1239.87","1208","1222.09","21,628,810"
"11/04/2021","1234.41","1243.49","1217","1229.91","25,397,410"
"11/03/2021","1177.33","1215.39","1152.62","1213.86","34,628,520"
"11/02/2021","1159.355","1208.59","1146","1172","42,737,800"
"11/01/2021","1145","1209.75","1118.66","1208.59","56,048,720"
"10/29/2021","1081.86","1115.21","1073.205","1114","29,918,420"
"10/28/2021","1068.305","1081","1054.2","1077.04","27,213,170"
"10/27/2021","1039.66","1070.88","1030.78","1037.86","38,526,460"
"10/26/2021","1024.69","1094.94","1001.44","1018.43","62,414,970"
"10/25/2021","950.53","1045.02","944.2","1024.86","62,852,100"
"10/22/2021","895.5","910","890.96","909.68","22,880,840"
"10/21/2021","856","900","855.5046","894","31,481,450"
"10/20/2021","865.35","869.49","857.38","865.8","14,032,050"
"10/19/2021","877.53","877.95","862.51","864.27","17,381,130"
"10/18/2021","851.79","875.26","851.47","870.11","24,207,240"
"10/15/2021","823.738","843.21","822.35","843.03","18,924,570"
"10/14/2021","815.49","820.25","813.3501","818.32","12,247,170"
"10/13/2021","810.47","815.41","805.78","811.08","14,120,080"
"10/12/2021","800.93","812.32","796.57","805.72","22,020,040"
"10/11/2021","787.65","801.24","785.5","791.94","14,200,320"
"10/08/2021","796.21","796.38","780.91","785.49","16,738,600"
"10/07/2021","785.46","805","783.38","793.61","19,195,780"
"10/06/2021","776.2","786.66","773.22","782.75","14,632,770"
"10/05/2021","784.796","797.31","774.2","780.59","18,432,630"
"10/04/2021","796.5","806.9699","776.12","781.53","30,483,340"
"10/01/2021","778.4","780.78","763.59","775.22","17,031,410"
"09/30/2021","781","789.1305","775","775.48","17,955,960"
"09/29/2021","779.8","793.5","770.68","781.31","20,942,880"
"09/28/2021","787.2","795.64","766.1801","777.56","25,381,420"
"09/27/2021","773.12","799","769.31","791.36","28,070,660"
"09/24/2021","745.89","774.8","744.56","774.39","21,373,020"
"09/23/2021","755","758.2","747.92","753.64","11,947,530"
"09/22/2021","743.5263","753.6699","739.12","751.94","15,126,270"
"09/21/2021","734.79","744.7399","730.44","739.38","16,330,720"
"09/20/2021","734.5577","742","718.6249","730.17","24,757,650"
"09/17/2021","757.15","761.04","750","759.49","28,204,180"
"09/16/2021","752.83","758.91","747.61","756.99","13,923,390"
"09/15/2021","745","756.86","738.36","755.83","15,357,690"
"09/14/2021","742.57","754.47","736.4","744.49","18,524,880"
"09/13/2021","740.214","744.78","708.85","743","22,952,480"
"09/10/2021","759.6","762.61","734.5201","736.27","15,184,170"
"09/09/2021","753.41","762.1","751.6301","754.86","14,077,730"
"09/08/2021","761.58","764.45","740.7733","753.87","18,793,040"
"09/07/2021","740","760.2","739.26","752.92","20,039,830"
"09/03/2021","732.249","734","724.2","733.57","15,271,050"
"09/02/2021","734.5","740.97","730.54","732.39","12,796,740"
"09/01/2021","734.08","741.99","731.2701","734.09","13,204,340"
"08/31/2021","733","740.39","726.44","735.72","20,855,440"
"08/30/2021","714.715","731","712.73","730.91","18,604,220"
"08/27/2021","705","715","702.1001","711.92","13,833,760"
"08/26/2021","708.31","715.4","697.6201","701.16","13,214,290"
"08/25/2021","707.03","716.97","704","711.2","12,645,560"
"08/24/2021","710.68","715.22","702.64","708.49","13,083,070"
"08/23/2021","685.442","712.1299","680.7505","706.3","20,264,860"
"08/20/2021","682.85","692.1299","673.7","680.26","14,841,870"
"08/19/2021","678.21","686.55","667.59","673.47","14,313,490"
"08/18/2021","669.748","695.77","669.35","688.99","20,349,380"
"08/17/2021","672.66","674.58","648.84","665.71","23,721,280"
"08/16/2021","705.07","709.5","676.4","686.17","23,103,300"
"08/13/2021","723.71","729.9","714.34","717.17","16,731,470"
"08/12/2021","706.34","722.8","699.4","722.25","17,681,690"
"08/11/2021","712.71","715.18","704.21","707.82","9,800,558"
"08/10/2021","713.99","716.59","701.88","709.99","13,432,310"
"08/09/2021","710.17","719.03","705.13","713.76","14,715,350"
"08/06/2021","711.9","716.33","697.63","699.1","15,623,050"
"08/05/2021","716","720.9499","711.41","714.63","12,919,640"
